symbol,n,min_d,max_d
1000SHIBUSDT.P,1623,2021-05-09 18:00:00-06:00,2025-10-17 18:00:00-06:00
ADAUSDT,2088,2020-01-30 18:00:00-06:00,2025-10-17 18:00:00-06:00
AVAXUSDT,1852,2020-09-22 18:00:00-06:00,2025-10-17 18:00:00-06:00
BCHUSDT,2131,2019-12-18 18:00:00-06:00,2025-10-17 18:00:00-06:00
BNBUSDT,2078,2020-02-09 18:00:00-06:00,2025-10-17 18:00:00-06:00
BTCUSDT,2233,2019-09-07 18:00:00-06:00,2025-10-17 18:00:00-06:00
DOGEUSDT,1927,2020-07-09 18:00:00-06:00,2025-10-17 18:00:00-06:00
DOTUSDT,1884,2020-08-21 18:00:00-06:00,2025-10-17 18:00:00-06:00
ETCUSDT,2103,2020-01-15 18:00:00-06:00,2025-10-17 18:00:00-06:00
ETHUSDT,2153,2019-11-26 18:00:00-06:00,2025-10-17 18:00:00-06:00
HBARUSDT,1677,2021-03-16 18:00:00-06:00,2025-10-17 18:00:00-06:00
LINKUSDT,2102,2020-01-16 18:00:00-06:00,2025-10-17 18:00:00-06:00
LTCUSDT,2110,2020-01-08 18:00:00-06:00,2025-10-17 18:00:00-06:00
SOLUSDT,1861,2020-09-13 18:00:00-06:00,2025-10-17 18:00:00-06:00
TRXUSDT,2104,2020-01-14 18:00:00-06:00,2025-10-17 18:00:00-06:00
UNIUSDT,1857,2020-09-17 18:00:00-06:00,2025-10-17 18:00:00-06:00
XLMUSDT,2099,2020-01-19 18:00:00-06:00,2025-10-17 18:00:00-06:00
XMRUSDT.P,2085,2020-02-02 18:00:00-06:00,2025-10-17 18:00:00-06:00
XRPUSDT,2113,2020-01-05 18:00:00-06:00,2025-10-17 18:00:00-06:00
