symbol,n,min_d,max_d
1000SHIBUSDT.P,1631,2021-05-09 18:00:00-06:00,2025-10-25 18:00:00-06:00
ADAUSDT,2096,2020-01-30 18:00:00-06:00,2025-10-25 18:00:00-06:00
AVAXUSDT,1860,2020-09-22 18:00:00-06:00,2025-10-25 18:00:00-06:00
BCHUSDT,2139,2019-12-18 18:00:00-06:00,2025-10-25 18:00:00-06:00
BNBUSDT,2086,2020-02-09 18:00:00-06:00,2025-10-25 18:00:00-06:00
BTCUSDT,2241,2019-09-07 18:00:00-06:00,2025-10-25 18:00:00-06:00
DOGEUSDT,1935,2020-07-09 18:00:00-06:00,2025-10-25 18:00:00-06:00
DOTUSDT,1892,2020-08-21 18:00:00-06:00,2025-10-25 18:00:00-06:00
ETCUSDT,2111,2020-01-15 18:00:00-06:00,2025-10-25 18:00:00-06:00
ETHUSDT,2161,2019-11-26 18:00:00-06:00,2025-10-25 18:00:00-06:00
HBARUSDT,1685,2021-03-16 18:00:00-06:00,2025-10-25 18:00:00-06:00
LINKUSDT,2110,2020-01-16 18:00:00-06:00,2025-10-25 18:00:00-06:00
LTCUSDT,2118,2020-01-08 18:00:00-06:00,2025-10-25 18:00:00-06:00
SOLUSDT,1869,2020-09-13 18:00:00-06:00,2025-10-25 18:00:00-06:00
TRXUSDT,2112,2020-01-14 18:00:00-06:00,2025-10-25 18:00:00-06:00
UNIUSDT,1865,2020-09-17 18:00:00-06:00,2025-10-25 18:00:00-06:00
XLMUSDT,2107,2020-01-19 18:00:00-06:00,2025-10-25 18:00:00-06:00
XMRUSDT.P,2093,2020-02-02 18:00:00-06:00,2025-10-25 18:00:00-06:00
XRPUSDT,2121,2020-01-05 18:00:00-06:00,2025-10-25 18:00:00-06:00
