symbol,n,min_d,max_d
1000SHIBUSDT.P,1597,2021-05-09 18:00:00-06:00,2025-09-21 18:00:00-06:00
ADAUSDT,2062,2020-01-30 18:00:00-06:00,2025-09-21 18:00:00-06:00
AVAXUSDT,1826,2020-09-22 18:00:00-06:00,2025-09-21 18:00:00-06:00
BCHUSDT,2105,2019-12-18 18:00:00-06:00,2025-09-21 18:00:00-06:00
BNBUSDT,2052,2020-02-09 18:00:00-06:00,2025-09-21 18:00:00-06:00
BTCUSDT,2207,2019-09-07 18:00:00-06:00,2025-09-21 18:00:00-06:00
DOGEUSDT,1901,2020-07-09 18:00:00-06:00,2025-09-21 18:00:00-06:00
DOTUSDT,1858,2020-08-21 18:00:00-06:00,2025-09-21 18:00:00-06:00
ETCUSDT,2077,2020-01-15 18:00:00-06:00,2025-09-21 18:00:00-06:00
ETHUSDT,2127,2019-11-26 18:00:00-06:00,2025-09-21 18:00:00-06:00
HBARUSDT,1651,2021-03-16 18:00:00-06:00,2025-09-21 18:00:00-06:00
LINKUSDT,2076,2020-01-16 18:00:00-06:00,2025-09-21 18:00:00-06:00
LTCUSDT,2084,2020-01-08 18:00:00-06:00,2025-09-21 18:00:00-06:00
SOLUSDT,1835,2020-09-13 18:00:00-06:00,2025-09-21 18:00:00-06:00
TRXUSDT,2078,2020-01-14 18:00:00-06:00,2025-09-21 18:00:00-06:00
UNIUSDT,1831,2020-09-17 18:00:00-06:00,2025-09-21 18:00:00-06:00
XLMUSDT,2073,2020-01-19 18:00:00-06:00,2025-09-21 18:00:00-06:00
XMRUSDT.P,2059,2020-02-02 18:00:00-06:00,2025-09-21 18:00:00-06:00
XRPUSDT,2087,2020-01-05 18:00:00-06:00,2025-09-21 18:00:00-06:00
